NU_INSCRICAO,NU_NOTA_MT
c363bec718e45cd6bf8cba599cc3990d77f95c22,742.8115557422338
890014a4e63d88574c62197a24fd43ba5749db83,740.5686023756125
ef5f221a0c4ed1747aa949dba2f629e98f3a9438,714.9871174410623
084d4e847b3809c6ee6622dd2e095156230f471b,711.4251579631566
c8feec2a94d996d03534ce935dec7a034667f107,709.6924706012821
b4e1261b410cf336bdbdffa6991b5fa5664704b4,709.3646203443013
6d4bee056abcea733d36060113427081daae72d1,705.3738467611818
bb4ec0a4a66bea29328f27b05364af97a510cee0,699.7873499127156
34d6082a74330b3f5bc565fc573674afaa03f661,699.5537967295245
328ca19128d276eb4fbc309c54ec7f346c803d2f,698.7814923939272
34333ed47110024961ff7a95cc92900ab6fbdd33,695.2478880428581
1bd11a80b10302f02376d8b755ca5a296eea87ac,693.0088846664796
e6375694613198f8db0720d7a8a04d8263116116,692.6895715215414
e6c93e838e090b96a97db0a212e3d5ad7e67a8c4,691.0589147675994
51ae593280f360e68b5400abcbb0d37f1ecade71,685.095556204257
c759ad904d22197f1cf3b5ef9e41ee1609513cea,681.7656081575477
3b6f2590bb08848ae5b7cd08a41d1cc6a628c1f6,677.0960857226382
4a77bec36c230119e16e282758ba9f3f18cec0fc,673.6967939555916
7cfb8c37201ba2d427383e3453bf4d17cf140c12,672.7289134368863
f1f40995a03ec646ede76673c4058d4286ee5d86,671.8653675061446
c12bc5ad48c163a8e656bd501d58526c53fd549a,671.8334199449345
91715815e6d1a2fd369379aa2451e4d535f000ad,670.74336203823
b434f8f1723aa06a245cc52f60dbe0036d00d227,670.4526890067194
47f77c8edf0812b4dc1a2279f060e79c1d40b791,670.2921054055232
418d7059d5266d440e6e6d952d1091955e8e096a,669.9632609641125
9027f65d4e576928ca59690c280050c53d66506a,668.898305301153
e7cfbcd18b8d3896bbe80fa618467f11c1e5c119,665.9156891286069
1c6cbf69a4c9bb53f3ca9c5417965c00e9f4404c,665.5219617395879
188cde61038965b9bc1c874f7d81f3fd7c3815f0,665.449893557168
fe8333dd7a48c2c6da19394b93e6413b2d969588,664.4216366576577
f543e99e6fcdc84f43b60ea4dbf67ec2442d3e4c,664.3453531588615
baf4a7108d45405b3534a38d5429d88941445dac,661.8821032549941
d0c0ef316460a146fdb93b06ac40b136636181d5,660.5053587213142
b54748a3cdd15981638e22a2b22b1711a49f8acc,659.8300774171772
9517e5c256bdf549cc3b44ca54fc9bb3a07fca39,657.7148041038718
6432732876989f4279e03bea20c37a21e0ce488d,656.4752381111166
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,655.9240115792843
67e4d2195af1d4908c534532a337a853f0b3eba5,654.986084349973
d3b6eab5a3d56dc9823cf355b3ac1f647378fd4c,654.7960599651419
7a5c90afaff8a6169ef1ea72181606d79b9d6378,653.9089900317194
2abaa7d3759d277dd920da6e8099939c1f794be0,653.357161891256
687448d804c924b64fb61ba94b1846007d6ab904,653.0721758641498
